assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel50_abs0.25,high,unfiltered,Goelzer_2015,oriC,8,0,0
proteomics,rel50_abs0.25,high,unfiltered,Goelzer_2015,ter,8,0.5,0.25
proteomics,rel50_abs0.25,high,unfiltered,li_2014_all,oriC,2,1,1
proteomics,rel50_abs0.25,high,unfiltered,li_2014_all,ter,2,1,1
proteomics,rel50_abs0.25,high,unfiltered,peebo_2015,oriC,97,0.5876288659793815,0.16494845360824742
proteomics,rel50_abs0.25,high,unfiltered,peebo_2015,ter,97,0.8865979381443299,0.5876288659793815
proteomics,rel50_abs0.25,high,unfiltered,schmidt_2016,oriC,75,0.44,0.32
proteomics,rel50_abs0.25,high,unfiltered,schmidt_2016,ter,75,0.6133333333333333,0.4533333333333333
proteomics,rel50_abs0.25,high,unfiltered,valgepea_2013_prot,oriC,3,0.6666666666666666,0.3333333333333333
proteomics,rel50_abs0.25,high,unfiltered,valgepea_2013_prot,ter,3,0.3333333333333333,0.3333333333333333
proteomics,rel50_abs0.25,high,unfiltered,zhu_B_subtilis,oriC,29,0.8620689655172413,0.6206896551724138
proteomics,rel50_abs0.25,high,unfiltered,zhu_B_subtilis,ter,29,0.6896551724137931,0.3103448275862069
proteomics,rel50_abs0.25,high,unfiltered,zhu_E_coli,oriC,33,0.6060606060606061,0.48484848484848486
proteomics,rel50_abs0.25,high,unfiltered,zhu_E_coli,ter,33,0.7272727272727273,0.5151515151515151
proteomics,rel50_abs0.25,high,unfiltered,zhu_V_natriegens,oriC,36,0.3055555555555556,0.16666666666666666
proteomics,rel50_abs0.25,high,unfiltered,zhu_V_natriegens,ter,36,0.1388888888888889,0
