dataset,predictor,n_total,n_tt,beta_all,beta_nonTT,delta_TT,Z_TT,p_emp_lower,p_emp_upper,p_emp
ecoli_consensus,z_slope,1700,57,-0.055603280409335466,-0.04720221422195496,-0.008401066187380506,-6.309876723928253,9.999000099990002e-5,1,9.999000099990002e-5
ecoli_consensus,z_mean,1700,57,-0.01657543371760954,-9.51951652835022e-4,-0.015623482064774517,-11.926425619945087,9.999000099990002e-5,1,9.999000099990002e-5
bsub_consensus,z_slope,951,52,-0.016321331373431804,-0.004317723908624781,-0.012003607464807022,-5.995588478083989,9.999000099990002e-5,1,9.999000099990002e-5
bsub_consensus,z_mean,951,52,-0.02260715273291972,-0.0025101673451875233,-0.0200969853877322,-9.090251031355512,9.999000099990002e-5,1,9.999000099990002e-5
vnat_consensus,z_slope,1443,56,9.330561542072039e-4,0.00475740743872066,-0.0038243512845134555,-2.453403240371884,0.010798920107989201,0.9893010698930107,0.010798920107989201
vnat_consensus,z_mean,1443,56,-0.047034883550982315,-0.038946301081199716,-0.008088582469782599,-5.894958013385714,9.999000099990002e-5,1,9.999000099990002e-5
ecoli_consensus,z_mean_promoter_strength,1238,32,0.014990673719815264,0.02016739955759211,-0.005176725837776846,-3.867792960794667,3.9996000399960006e-4,0.9997000299970003,3.9996000399960006e-4
