dataset,species,dataset_type,outcome_raw,outcome_label,filter_mode,term,estimate,std_error,residual_df,t_statistic,p_value,confidence_interval_low,confidence_interval_high,n_obs,p_value_fdr
Li (E. coli),E. coli,Individual,slope,Growth slope,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,0.0226060973175677,0.242354544942703,3685,0.09327696876042572,0.9256885993508134,-0.4525561518363324,0.4977683464714678,3689,0.9828182643227604
Li (E. coli),E. coli,Individual,slope,Growth slope,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,-0.19396884458862876,0.248752544361329,3625,-0.7797662736943771,0.43557936797976393,-0.681677714595846,0.29374002541858846,3629,0.7098330441151708
Valgepea (E. coli),E. coli,Individual,mean_ln,Mean expression,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,0.7856911957688133,0.37847848088134717,1197,2.0759203903461216,0.03811437575623707,0.043136171627412456,1.5282462199102143,1201,0.2315196571885818
Valgepea (E. coli),E. coli,Individual,mean_ln,Mean expression,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,-0.1280575432096353,0.38158582506753197,1141,-0.33559302992183226,0.7372394754555385,-0.876746206446253,0.6206311200269823,1145,0.930997102197774
Valgepea (E. coli),E. coli,Individual,slope,Growth slope,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,-0.3151666705111849,1.4938369055079108,1197,-0.2109779650972185,0.8329403763571966,-3.245996705681648,2.6156633646592784,1201,0.930997102197774
Valgepea (E. coli),E. coli,Individual,slope,Growth slope,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,-1.26599577059574,1.5887157643934369,1141,-0.7968673811700298,0.4256938358775434,-4.383128021764025,1.851136480572545,1145,0.7098330441151708
Zhu (E. coli),E. coli,Individual,mean_ln,Mean expression,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,1.809503406693482,0.5040845446608683,1700,3.5896823774092446,3.404763584915822e-4,0.8208119347966171,2.798194878590347,1704,0.014980959773629617
Zhu (E. coli),E. coli,Individual,mean_ln,Mean expression,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,0.8639389485129527,0.5058976539798867,1644,1.7077346410214838,0.08787438801538719,-0.12833276568020568,1.8562106627061112,1648,0.35149755206154876
Zhu (E. coli),E. coli,Individual,slope,Growth slope,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,-0.7363783641601559,0.7096546868597408,1700,-1.037657296985762,0.29957719994979964,-2.128266975547556,0.6555102472272444,1704,0.5877936397879164
Zhu (E. coli),E. coli,Individual,slope,Growth slope,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,-0.7550889717561325,0.7389126135785751,1644,-1.0218921126535043,0.30698231274557064,-2.2043980957389646,0.6942201522266996,1648,0.5877936397879164
Goelzer (B. subtilis),B. subtilis,Individual,mean_ln,Mean expression,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,0.5255547772002265,0.6229994581697719,995,0.8435878559897704,0.3991025084752663,-0.6969888513932725,1.7480984057937254,999,0.7024204149164687
Goelzer (B. subtilis),B. subtilis,Individual,mean_ln,Mean expression,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,-0.016677960070389453,0.6305257208959474,942,-0.026450879825633215,0.9789033143568846,-1.254075546601484,1.220719626460705,946,0.9828182643227604
Goelzer (B. subtilis),B. subtilis,Individual,slope,Growth slope,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,2.889376324745777,1.8613049583445656,995,1.552339025258694,0.12089912082524899,-0.7631573778975715,6.541910027389125,999,0.409197024331612
Goelzer (B. subtilis),B. subtilis,Individual,slope,Growth slope,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,2.3247509040165117,1.9316594387750037,942,1.2034993629574755,0.22908549251176377,-1.4661027413253351,6.115604549358359,946,0.567724990150605
Zhu (B. subtilis),B. subtilis,Individual,mean_ln,Mean expression,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,1.3117256083839461,0.5877755794888333,1767,2.23167762349825,0.025761250208948292,0.15891699674055415,2.464534220027338,1771,0.1889158348656208
Zhu (B. subtilis),B. subtilis,Individual,mean_ln,Mean expression,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,0.5207779131343595,0.5814289947990909,1711,0.8956861762876325,0.37054638551607066,-0.6196086781217736,1.6611645043904926,1715,0.6793350401127962
Zhu (B. subtilis),B. subtilis,Individual,slope,Growth slope,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,0.5255449322742108,0.5086165699101269,1767,1.033283151524291,0.3016128064466856,-0.472008525674542,1.5230983902229638,1771,0.5877936397879164
Zhu (B. subtilis),B. subtilis,Individual,slope,Growth slope,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,0.0995407634803733,0.5136448858516587,1711,0.19379296128944776,0.8463610019979763,-0.9078973686597722,1.1069788956205189,1715,0.930997102197774
Zhu (V. natriegens),V. natriegens,Consensus_Representative,mean_ln,Mean expression,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,-0.43230846026941316,0.7567144540212175,1436,-0.571296686579865,0.567887946379539,-1.91669266501239,1.0520757444735638,1440,0.8272970777441255
Zhu (V. natriegens),V. natriegens,Consensus_Representative,mean_ln,Mean expression,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,-0.8849833087076243,0.740506397187937,1380,-1.1951055548855978,0.2322511323343384,-2.3376232337244813,0.5676566163092326,1384,0.567724990150605
Zhu (V. natriegens),V. natriegens,Consensus_Representative,slope,Growth slope,Full (All Genes),norm_pos:binary_core_accessory_mainaccessory,0.010345914144019185,0.4803222283161304,1436,0.021539528121130143,0.9828182643227604,-0.9318625042502494,0.9525543325382878,1440,0.9828182643227604
Zhu (V. natriegens),V. natriegens,Consensus_Representative,slope,Growth slope,Excl. Trans/Transl (Sensitivity),norm_pos:binary_core_accessory_mainaccessory,-0.09860766338640635,0.49081275691327764,1380,-0.20090688760119058,0.8408009877124341,-1.0614274433468907,0.8642121165740779,1384,0.930997102197774
