dataset,n_conditions,replicate,n_genes_used,beta_slope,beta_mean,beta_diff
E. coli Consensus,30,46,1700,-0.10206682343191266,-0.05186275926762512,-0.05020406416428754
E. coli Consensus,30,47,1700,-0.13917088793225266,-0.07385469286326322,-0.06531619506898943
E. coli Consensus,30,48,1700,-0.15189523485902615,-0.06087770083795628,-0.09101753402106987
E. coli Consensus,30,49,1700,-0.187276114665662,-0.060212082455367785,-0.12706403221029422
E. coli Consensus,30,50,1700,-0.14858330583570864,-0.051348671381447136,-0.0972346344542615
E. coli Consensus,30,51,1700,-0.1617723062285716,-0.08597037684492397,-0.07580192938364765
E. coli Consensus,30,52,1700,-0.15152839957447486,-0.07170977373296883,-0.07981862584150604
E. coli Consensus,30,53,1700,-0.0805715491600769,-0.06837710142636669,-0.012194447733710215
E. coli Consensus,30,54,1700,-0.1771496479215354,-0.05926194009776966,-0.11788770782376573
E. coli Consensus,30,55,1700,-0.14016408260700788,-0.054684845449100676,-0.0854792371579072
E. coli Consensus,30,56,1700,-0.10756093927811525,-0.05829532722947086,-0.04926561204864439
E. coli Consensus,30,57,1700,-0.11423956946944547,-0.05973789692607373,-0.05450167254337174
E. coli Consensus,30,58,1700,-0.1656822292965459,-0.08330051124171596,-0.08238171805482995
E. coli Consensus,30,59,1700,-0.1702909165940364,-0.07159301796667927,-0.09869789862735712
E. coli Consensus,30,60,1700,-0.08294498984818818,-0.05314790212916205,-0.02979708771902613
E. coli Consensus,30,61,1700,-0.13630923272205317,-0.0793023174317795,-0.05700691529027367
E. coli Consensus,30,62,1700,-0.17271180386021792,-0.06613302397678662,-0.1065787798834313
E. coli Consensus,30,63,1700,-0.16034802075254817,-0.04661133687493045,-0.11373668387761772
E. coli Consensus,30,64,1700,-0.1400808989359934,-0.05968574670210302,-0.08039515223389038
E. coli Consensus,30,65,1695,-0.13511493053400353,-0.04644702176743728,-0.08866790876656624
E. coli Consensus,30,66,1700,-0.09905430162267986,-0.04944805335536227,-0.04960624826731759
E. coli Consensus,30,67,1700,-0.14924251377486883,-0.08405428046587518,-0.06518823330899365
E. coli Consensus,30,68,1700,-0.15232817060187998,-0.07057130571539867,-0.0817568648864813
E. coli Consensus,30,69,1700,-0.1752598033892867,-0.07205860347680763,-0.10320119991247907
E. coli Consensus,30,70,1700,-0.18898429924591184,-0.06616713940668083,-0.12281715983923101
E. coli Consensus,30,71,1700,-0.2299938522980163,-0.04973187176819392,-0.1802619805298224
E. coli Consensus,30,72,1700,-0.16031725014686962,-0.06787093478315498,-0.09244631536371464
E. coli Consensus,30,73,1700,-0.11965674586752235,-0.05077287165674489,-0.06888387421077746
E. coli Consensus,30,74,1700,-0.14655824981485574,-0.047434081653727714,-0.09912416816112803
E. coli Consensus,30,75,1700,-0.19483110331649134,-0.054411989081385274,-0.14041911423510606
E. coli Consensus,30,76,1700,-0.10046478791972914,-0.07219026414899378,-0.02827452377073536
E. coli Consensus,30,77,1700,-0.15231420184503172,-0.05947602411244709,-0.09283817773258463
E. coli Consensus,30,78,1700,-0.07034248029130374,-0.05283498476124119,-0.017507495530062554
E. coli Consensus,30,79,1700,-0.2122427878167756,-0.032732345170888556,-0.17951044264588706
E. coli Consensus,30,80,1700,-0.15748658392248502,-0.10223419653243393,-0.05525238739005109
E. coli Consensus,30,81,1700,-0.16234031167789895,-0.09504703640915668,-0.06729327526874226
E. coli Consensus,30,82,1700,-0.20830284707191013,-0.06515087320202659,-0.14315197386988354
E. coli Consensus,30,83,1700,-0.1254483064624823,-0.05276971601107935,-0.07267859045140296
E. coli Consensus,30,84,1700,-0.1568606633365511,-0.057025684263408975,-0.09983497907314212
E. coli Consensus,30,85,1700,-0.1384393759135446,-0.08224660269546989,-0.05619277321807471
E. coli Consensus,30,86,1700,-0.19416239603589153,-0.04570579350005534,-0.1484566025358362
E. coli Consensus,30,87,1700,-0.10833186675518557,-0.07011272621980005,-0.03821914053538551
E. coli Consensus,30,88,1700,-0.1807390584693772,-0.06503883162354969,-0.11570022684582752
E. coli Consensus,30,89,1700,-0.04240071938792278,-0.06667853212884362,0.024277812740920834
E. coli Consensus,30,90,1700,-0.1481529450281365,-0.08153338186697558,-0.06661956316116092
E. coli Consensus,30,91,1695,-0.13786650302038156,-0.0683520382531532,-0.06951446476722836
E. coli Consensus,30,92,1700,-0.14120015683308157,-0.07109805777107019,-0.07010209906201138
E. coli Consensus,30,93,1700,-0.14324983848679135,-0.06382806300177185,-0.0794217754850195
E. coli Consensus,30,94,1700,-0.21346312862818184,-0.05644017893759527,-0.15702294969058656
E. coli Consensus,30,95,1700,-0.17626242223671054,-0.058934222945206075,-0.11732819929150447
E. coli Consensus,30,96,1700,-0.20645425600073458,-0.050081002847182414,-0.15637325315355216
E. coli Consensus,30,97,1700,-0.10823039820973192,-0.0656850033220318,-0.04254539488770012
E. coli Consensus,30,98,1700,-0.1460842291627793,-0.06169225096596497,-0.08439197819681432
E. coli Consensus,30,99,1700,-0.2040400812595138,-0.045168026392741666,-0.15887205486677214
E. coli Consensus,30,100,1700,-0.17058319326910848,-0.055969696486681125,-0.11461349678242735
E. coli Consensus,35,1,1700,-0.16752059858747625,-0.06137997080695099,-0.10614062778052527
E. coli Consensus,35,2,1700,-0.12078674412767731,-0.08124109164011623,-0.03954565248756109
E. coli Consensus,35,3,1700,-0.1593851282099605,-0.07109682816703937,-0.08828830004292114
E. coli Consensus,35,4,1700,-0.09420984650775045,-0.06304110282100397,-0.031168743686746478
E. coli Consensus,35,5,1700,-0.16028722945932455,-0.08648121529030557,-0.07380601416901898
E. coli Consensus,35,6,1700,-0.1545170261241534,-0.09322462113608541,-0.061292404988068
E. coli Consensus,35,7,1700,-0.2117038331916068,-0.057558521115770846,-0.15414531207583596
E. coli Consensus,35,8,1700,-0.1487720219711625,-0.06772690228459591,-0.08104511968656658
E. coli Consensus,35,9,1700,-0.1602441006288918,-0.05908662324178305,-0.10115747738710876
E. coli Consensus,35,10,1700,-0.14576797026425026,-0.0934345029479881,-0.052333467316262164
E. coli Consensus,35,11,1700,-0.12217877489957636,-0.05435089053682307,-0.06782788436275329
E. coli Consensus,35,12,1700,-0.11133822580847451,-0.059071830996552395,-0.052266394811922114
E. coli Consensus,35,13,1700,-0.1558996024973763,-0.09731962940460548,-0.058579973092770826
E. coli Consensus,35,14,1700,-0.18813215213151607,-0.06870151721957635,-0.11943063491193973
E. coli Consensus,35,15,1700,-0.1953653379949042,-0.06620239888552813,-0.12916293910937604
E. coli Consensus,35,16,1700,-0.17602007247413948,-0.06323348532214261,-0.11278658715199687
E. coli Consensus,35,17,1700,-0.1650257075488364,-0.0611402549879855,-0.10388545256085088
E. coli Consensus,35,18,1700,-0.1318310043172886,-0.051167171432617675,-0.08066383288467094
E. coli Consensus,35,19,1700,-0.15861750525795718,-0.0656360224778775,-0.09298148278007967
E. coli Consensus,35,20,1700,-0.15226841973149458,-0.05267745099874065,-0.09959096873275392
E. coli Consensus,35,21,1700,-0.17979273659671455,-0.05910017862054677,-0.12069255797616778
E. coli Consensus,35,22,1700,-0.15722018450320013,-0.08598028315998318,-0.07123990134321695
E. coli Consensus,35,23,1700,-0.18649233448415872,-0.06515266079889576,-0.12133967368526297
E. coli Consensus,35,24,1700,-0.13645609124901553,-0.055491063481256805,-0.08096502776775873
E. coli Consensus,35,25,1700,-0.14769208557633973,-0.08926598999370408,-0.058426095582635645
E. coli Consensus,35,26,1700,-0.16636004672801913,-0.08795821267951688,-0.07840183404850225
E. coli Consensus,35,27,1700,-0.1568956055662798,-0.07005678259605723,-0.08683882297022257
E. coli Consensus,35,28,1700,-0.21947353298129327,-0.05653413289471041,-0.16293940008658286
E. coli Consensus,35,29,1700,-0.1623016743939505,-0.07327924523351365,-0.08902242916043684
E. coli Consensus,35,30,1700,-0.11450116228720227,-0.051604702342111224,-0.06289645994509105
E. coli Consensus,35,31,1700,-0.1390289632447688,-0.09948760948170683,-0.03954135376306196
E. coli Consensus,35,32,1700,-0.16352187940889407,-0.0568337650762499,-0.10668811433264416
E. coli Consensus,35,33,1700,-0.12530218661609632,-0.04590199105834484,-0.07940019555775149
E. coli Consensus,35,34,1700,-0.14420751461697764,-0.08295109682271111,-0.061256417794266535
E. coli Consensus,35,35,1700,-0.12407518629354503,-0.07582231497371986,-0.04825287131982517
E. coli Consensus,35,36,1700,-0.15917565119512583,-0.06329693527329577,-0.09587871592183006
E. coli Consensus,35,37,1700,-0.15940120076203101,-0.06170416502421334,-0.09769703573781768
E. coli Consensus,35,38,1700,-0.1568340235630842,-0.07614256891615205,-0.08069145464693216
E. coli Consensus,35,39,1700,-0.17141006099570674,-0.08131471291927626,-0.09009534807643048
E. coli Consensus,35,40,1700,-0.1258049410777073,-0.06960953221015057,-0.05619540886755672
E. coli Consensus,35,41,1700,-0.1659681255286786,-0.10444032902055264,-0.061527796508125954
E. coli Consensus,35,42,1700,-0.17474341055315196,-0.06396699314817833,-0.11077641740497363
E. coli Consensus,35,43,1700,-0.13950580968907117,-0.057946809130645906,-0.08155900055842527
E. coli Consensus,35,44,1700,-0.16385683857033947,-0.05496311614340044,-0.10889372242693904
E. coli Consensus,35,45,1700,-0.19243926086835228,-0.05557436585636058,-0.1368648950119917
E. coli Consensus,35,46,1700,-0.18007828889806665,-0.07183981275384949,-0.10823847614421717
E. coli Consensus,35,47,1700,-0.1186039666412801,-0.06082960682108083,-0.057774359820199274
E. coli Consensus,35,48,1700,-0.2128050660521196,-0.0638076084132817,-0.1489974576388379
E. coli Consensus,35,49,1700,-0.15755892907142416,-0.06430851106693937,-0.09325041800448479
E. coli Consensus,35,50,1700,-0.1717898091201013,-0.05814267216163437,-0.11364713695846693
E. coli Consensus,35,51,1700,-0.16892326088222634,-0.08444224796972491,-0.08448101291250143
E. coli Consensus,35,52,1700,-0.1541297676157666,-0.04783476019866613,-0.10629500741710048
E. coli Consensus,35,53,1700,-0.16073357260543167,-0.05953714196926176,-0.1011964306361699
E. coli Consensus,35,54,1700,-0.1421145913157454,-0.04604589527107398,-0.09606869604467141
E. coli Consensus,35,55,1700,-0.15164867131792847,-0.09257491844367699,-0.059073752874251484
E. coli Consensus,35,56,1700,-0.15375230992815334,-0.052557955653610156,-0.10119435427454318
E. coli Consensus,35,57,1700,-0.16076142798183413,-0.0877234104289438,-0.07303801755289033
E. coli Consensus,35,58,1700,-0.1477767770502874,-0.07147504009143883,-0.07630173695884858
E. coli Consensus,35,59,1700,-0.17193638545955592,-0.07715656393386268,-0.09477982152569324
E. coli Consensus,35,60,1700,-0.13225175415427112,-0.05077438714891307,-0.08147736700535806
E. coli Consensus,35,61,1700,-0.1291284580961864,-0.05870050125739372,-0.07042795683879267
E. coli Consensus,35,62,1700,-0.15612913778470375,-0.08861996339030537,-0.06750917439439838
E. coli Consensus,35,63,1700,-0.1601313541088439,-0.06741858664549899,-0.09271276746334492
E. coli Consensus,35,64,1700,-0.14258108417463594,-0.062129234253327066,-0.08045184992130888
E. coli Consensus,35,65,1700,-0.1547613517902023,-0.06228238794498248,-0.09247896384521984
E. coli Consensus,35,66,1700,-0.14929250738602942,-0.050174441428898216,-0.09911806595713121
E. coli Consensus,35,67,1700,-0.11521986036829626,-0.05752335982642615,-0.05769650054187011
E. coli Consensus,35,68,1700,-0.1822838973761164,-0.06372030563361096,-0.11856359174250543
E. coli Consensus,35,69,1700,-0.168951149417219,-0.08258777263952237,-0.08636337677769663
E. coli Consensus,35,70,1700,-0.21720033433122818,-0.038073421698907435,-0.17912691263232075
E. coli Consensus,35,71,1700,-0.15292058162851022,-0.07459450118009378,-0.07832608044841644
E. coli Consensus,35,72,1700,-0.20083414873542701,-0.03285412613329868,-0.16798002260212833
E. coli Consensus,35,73,1700,-0.150306675433539,-0.06396298179064479,-0.08634369364289422
E. coli Consensus,35,74,1700,-0.16564257474187383,-0.06130377724141148,-0.10433879750046235
E. coli Consensus,35,75,1700,-0.1157632462645692,-0.06331422676083505,-0.05244901950373415
E. coli Consensus,35,76,1700,-0.15833415112635757,-0.08490808487500283,-0.07342606625135474
E. coli Consensus,35,77,1700,-0.15217114931504655,-0.08388406636502897,-0.06828708295001758
E. coli Consensus,35,78,1700,-0.16405709853169154,-0.04853994377793649,-0.11551715475375504
E. coli Consensus,35,79,1700,-0.1174735186618761,-0.06394395442537165,-0.05352956423650444
E. coli Consensus,35,80,1700,-0.17637141958568034,-0.06099706220236494,-0.11537435738331539
E. coli Consensus,35,81,1700,-0.1615968741806695,-0.0570835069698151,-0.10451336721085441
E. coli Consensus,35,82,1700,-0.12736774626200753,-0.056179068385495905,-0.07118867787651162
E. coli Consensus,35,83,1700,-0.16104965238316496,-0.0814163350540554,-0.07963331732910955
E. coli Consensus,35,84,1700,-0.16571041065881473,-0.08087934549649703,-0.0848310651623177
E. coli Consensus,35,85,1700,-0.20070146362566785,-0.059911379792507574,-0.14079008383316027
E. coli Consensus,35,86,1700,-0.16182099794070545,-0.08775586460403921,-0.07406513333666624
E. coli Consensus,35,87,1700,-0.17303378287942162,-0.0702193923080196,-0.10281439057140201
E. coli Consensus,35,88,1700,-0.1597848635739046,-0.08178740498198607,-0.07799745859191852
E. coli Consensus,35,89,1700,-0.17664807231818747,-0.0661135162825151,-0.11053455603567236
E. coli Consensus,35,90,1700,-0.1462243482886469,-0.06031319833425819,-0.0859111499543887
E. coli Consensus,35,91,1700,-0.09447115937666675,-0.05260663824861879,-0.04186452112804796
E. coli Consensus,35,92,1700,-0.16235311344761624,-0.05283918669613038,-0.10951392675148586
E. coli Consensus,35,93,1700,-0.15711626943571022,-0.08735303085245738,-0.06976323858325284
E. coli Consensus,35,94,1700,-0.11429923126056127,-0.06100154351885569,-0.053297687741705575
E. coli Consensus,35,95,1700,-0.2158957184420605,-0.0448616286334535,-0.17103408980860701
E. coli Consensus,35,96,1700,-0.14785531625457318,-0.07766448890864779,-0.0701908273459254
E. coli Consensus,35,97,1700,-0.1713226769023844,-0.06331554841312295,-0.10800712848926144
E. coli Consensus,35,98,1700,-0.20276635185727732,-0.054024090737474634,-0.14874226111980268
E. coli Consensus,35,99,1700,-0.1707690040005537,-0.09052732336466314,-0.08024168063589056
E. coli Consensus,35,100,1700,-0.11248495025885816,-0.048480372569032426,-0.06400457768982573
E. coli Consensus,40,1,1700,-0.14422334861625596,-0.06015670086161262,-0.08406664775464334
E. coli Consensus,40,2,1700,-0.16996016794555496,-0.0850718896105808,-0.08488827833497416
E. coli Consensus,40,3,1700,-0.1706216438316743,-0.07897738207425563,-0.09164426175741867
E. coli Consensus,40,4,1700,-0.21628549670132718,-0.046703957838636075,-0.16958153886269112
E. coli Consensus,40,5,1700,-0.14567213337790977,-0.06169804476327189,-0.08397408861463787
E. coli Consensus,40,6,1700,-0.21066301531582413,-0.0423922360896483,-0.16827077922617584
E. coli Consensus,40,7,1700,-0.17927868711892037,-0.06746023792668769,-0.11181844919223267
E. coli Consensus,40,8,1700,-0.21748800922746855,-0.039080347738644834,-0.17840766148882373
E. coli Consensus,40,9,1700,-0.23172977023441244,-0.04726624152308047,-0.18446352871133198
E. coli Consensus,40,10,1700,-0.19622798505008499,-0.07233509434130232,-0.12389289070878266
E. coli Consensus,40,11,1700,-0.16034870899355141,-0.07030488480633029,-0.09004382418722112
E. coli Consensus,40,12,1700,-0.16054301238484758,-0.0666276897889317,-0.09391532259591588
E. coli Consensus,40,13,1700,-0.11521074936249748,-0.05354934769201662,-0.061661401670480856
E. coli Consensus,40,14,1700,-0.15953905621670172,-0.0754129411651984,-0.08412611505150333
E. coli Consensus,40,15,1700,-0.17068358835268146,-0.05636608000445961,-0.11431750834822185
E. coli Consensus,40,16,1700,-0.11894728041395493,-0.06997943548770229,-0.04896784492625264
E. coli Consensus,40,17,1700,-0.17126378855795746,-0.06860041490456226,-0.1026633736533952
E. coli Consensus,40,18,1700,-0.15160385753130953,-0.07609971678229994,-0.07550414074900959
E. coli Consensus,40,19,1700,-0.20133871998847164,-0.06354140337580029,-0.13779731661267136
E. coli Consensus,40,20,1700,-0.15742669619580077,-0.06099220689763509,-0.09643448929816567
E. coli Consensus,40,21,1700,-0.17849450690722593,-0.0662247598188704,-0.11226974708835553
E. coli Consensus,40,22,1700,-0.19431500315796577,-0.04088121164345151,-0.15343379151451425
E. coli Consensus,40,23,1700,-0.18734608978968095,-0.045720946663763556,-0.1416251431259174
E. coli Consensus,40,24,1700,-0.20830257617726097,-0.05144296563137443,-0.15685961054588654
E. coli Consensus,40,25,1700,-0.2042232292393466,-0.05062709310129397,-0.15359613613805262
E. coli Consensus,40,26,1700,-0.13640313202821755,-0.047659765260434805,-0.08874336676778274
E. coli Consensus,40,27,1700,-0.1754262566411507,-0.0758888431506073,-0.09953741349054339
E. coli Consensus,40,28,1700,-0.16349191840773297,-0.06009238327811084,-0.10339953512962213
E. coli Consensus,40,29,1700,-0.21383137615694894,-0.0390410116356183,-0.17479036452133065
E. coli Consensus,40,30,1700,-0.15664224302286164,-0.055588458362949296,-0.10105378465991235
E. coli Consensus,40,31,1700,-0.1905295570746102,-0.0666945079131075,-0.12383504916150269
E. coli Consensus,40,32,1700,-0.15486635399057438,-0.07380637724048332,-0.08105997675009106
E. coli Consensus,40,33,1700,-0.10543805671471607,-0.04884681159065467,-0.0565912451240614
E. coli Consensus,40,34,1700,-0.09111016395139795,-0.059169899948338836,-0.03194026400305912
E. coli Consensus,40,35,1700,-0.16038329210153987,-0.055738982466048345,-0.10464430963549153
E. coli Consensus,40,36,1700,-0.17344834802453493,-0.061166285317408337,-0.1122820627071266
E. coli Consensus,40,37,1700,-0.15930589592016842,-0.0808372037859932,-0.07846869213417522
E. coli Consensus,40,38,1700,-0.1960084841323968,-0.06128719775514596,-0.13472128637725084
E. coli Consensus,40,39,1700,-0.20315339118176487,-0.03826590355534818,-0.1648874876264167
E. coli Consensus,40,40,1700,-0.16745469292134701,-0.05388648605835308,-0.11356820686299393
E. coli Consensus,40,41,1700,-0.1159296703844222,-0.05994049765800565,-0.05598917272641655
E. coli Consensus,40,42,1700,-0.19897002651153237,-0.035490476807999445,-0.16347954970353293
E. coli Consensus,40,43,1700,-0.15328503726675233,-0.0584707742226178,-0.09481426304413453
E. coli Consensus,40,44,1700,-0.1753644476051317,-0.05493943840825757,-0.12042500919687413
E. coli Consensus,40,45,1700,-0.14295009590420316,-0.06963892161295891,-0.07331117429124424
E. coli Consensus,40,46,1700,-0.16826852970916675,-0.06644260944386204,-0.10182592026530471
E. coli Consensus,40,47,1700,-0.1878098700223009,-0.0637123184624781,-0.1240975515598228
E. coli Consensus,40,48,1700,-0.1628129161923724,-0.04876531342382349,-0.11404760276854892
E. coli Consensus,40,49,1700,-0.12057921639116151,-0.07043355811441585,-0.050145658276745664
E. coli Consensus,40,50,1700,-0.18282611479875033,-0.0705039656054723,-0.11232214919327803
E. coli Consensus,40,51,1700,-0.16637940557559924,-0.06211861627114718,-0.10426078930445207
E. coli Consensus,40,52,1700,-0.19978051741809671,-0.04995013160824585,-0.14983038580985086
E. coli Consensus,40,53,1700,-0.21497507694371346,-0.0324910620767908,-0.18248401486692267
E. coli Consensus,40,54,1700,-0.1927705756769345,-0.06744287794872038,-0.12532769772821412
E. coli Consensus,40,55,1700,-0.13667718548119306,-0.06426393518030839,-0.07241325030088468
E. coli Consensus,40,56,1700,-0.1997819060450589,-0.0396412271246179,-0.160140678920441
E. coli Consensus,40,57,1700,-0.10063380119428043,-0.049903833296287836,-0.0507299678979926
E. coli Consensus,40,58,1700,-0.15789798765343546,-0.08297236545041378,-0.07492562220302168
E. coli Consensus,40,59,1700,-0.1613592914910143,-0.07085207008663082,-0.09050722140438348
E. coli Consensus,40,60,1700,-0.21449523798051695,-0.04083789150906354,-0.17365734647145342
E. coli Consensus,40,61,1700,-0.14088376388139856,-0.04671134317004236,-0.0941724207113562
E. coli Consensus,40,62,1700,-0.1783803592959269,-0.06663138134750975,-0.11174897794841716
E. coli Consensus,40,63,1700,-0.18280988192433453,-0.06603500387316713,-0.1167748780511674
E. coli Consensus,40,64,1700,-0.20787698790058423,-0.04466138880996161,-0.1632155990906226
E. coli Consensus,40,65,1700,-0.15678548415311788,-0.08504408640790716,-0.07174139774521072
E. coli Consensus,40,66,1700,-0.22151180684351843,-0.0468690609742208,-0.17464274586929762
E. coli Consensus,40,67,1700,-0.19972960537735054,-0.060722375088771666,-0.13900723028857886
E. coli Consensus,40,68,1700,-0.14996217948402585,-0.057191998275911475,-0.09277018120811437
E. coli Consensus,40,69,1700,-0.22310996693328952,-0.03658187444768586,-0.18652809248560365
E. coli Consensus,40,70,1700,-0.19661754469737222,-0.050127704975742114,-0.1464898397216301
E. coli Consensus,40,71,1700,-0.2128908514905524,-0.04802896268852544,-0.16486188880202696
E. coli Consensus,40,72,1700,-0.17449833691527128,-0.0646182129358446,-0.10988012397942667
E. coli Consensus,40,73,1700,-0.174363413624267,-0.08213470420900985,-0.09222870941525714
E. coli Consensus,40,74,1700,-0.17506039771125018,-0.06610584829478552,-0.10895454941646465
E. coli Consensus,40,75,1700,-0.1561758797169017,-0.05314037074131137,-0.10303550897559033
E. coli Consensus,40,76,1700,-0.16056426250482456,-0.08248011079699524,-0.07808415170782931
E. coli Consensus,40,77,1700,-0.10847505166236883,-0.059762050653223105,-0.048713001009145725
E. coli Consensus,40,78,1700,-0.21870582948896108,-0.050502530121438495,-0.1682032993675226
E. coli Consensus,40,79,1700,-0.16145789556460202,-0.0736348153822349,-0.08782308018236712
E. coli Consensus,40,80,1700,-0.1964223060630787,-0.048244813890781293,-0.14817749217229742
E. coli Consensus,40,81,1700,-0.19640327788411932,-0.06354573205196325,-0.1328575458321561
E. coli Consensus,40,82,1700,-0.22236569906877465,-0.03946954773466698,-0.18289615133410767
E. coli Consensus,40,83,1700,-0.15699279372159572,-0.08598099570786984,-0.07101179801372588
E. coli Consensus,40,84,1700,-0.16459771600092044,-0.06013477565001119,-0.10446294035090925
E. coli Consensus,40,85,1700,-0.16543452751206825,-0.05344086818787686,-0.11199365932419139
E. coli Consensus,40,86,1700,-0.2135098117223227,-0.050179166035912624,-0.16333064568641006
E. coli Consensus,40,87,1700,-0.16990610700535308,-0.06473252144448079,-0.10517358556087229
E. coli Consensus,40,88,1700,-0.14929503877404005,-0.0721589721222801,-0.07713606665175994
E. coli Consensus,40,89,1700,-0.1688083447924142,-0.07111687465734359,-0.0976914701350706
E. coli Consensus,40,90,1700,-0.22049732014066145,-0.05224353290461453,-0.16825378723604692
E. coli Consensus,40,91,1700,-0.14977557239640982,-0.04734753773938404,-0.10242803465702577
E. coli Consensus,40,92,1700,-0.12055773595104848,-0.05403630452106081,-0.06652143142998766
E. coli Consensus,40,93,1700,-0.14153621450742043,-0.050002680411600914,-0.09153353409581952
E. coli Consensus,40,94,1700,-0.14991011666453763,-0.060665412896102305,-0.08924470376843532
E. coli Consensus,40,95,1700,-0.1589109126534457,-0.06908398727578882,-0.08982692537765688
E. coli Consensus,40,96,1700,-0.16382436021426935,-0.058471587773806406,-0.10535277244046296
E. coli Consensus,40,97,1700,-0.17338607014566035,-0.0699341764805057,-0.10345189366515464
E. coli Consensus,40,98,1700,-0.15946609094066475,-0.06758370210197699,-0.09188238883868775
E. coli Consensus,40,99,1700,-0.1735333067963961,-0.06847899220451037,-0.10505431459188572
E. coli Consensus,40,100,1700,-0.21394975402378044,-0.04801911718864792,-0.16593063683513254
E. coli Consensus,45,1,1700,-0.15587461108639622,-0.07227286864095406,-0.08360174244544216
E. coli Consensus,45,2,1700,-0.1606785126080018,-0.060555567462680926,-0.10012294514532089
E. coli Consensus,45,3,1700,-0.16838560765741242,-0.06412391485928441,-0.10426169279812801
E. coli Consensus,45,4,1700,-0.17756877949021166,-0.051083947441938025,-0.12648483204827363
E. coli Consensus,45,5,1700,-0.1583619694791819,-0.0629803171722641,-0.09538165230691781
E. coli Consensus,45,6,1700,-0.2029235891036866,-0.06620580955083757,-0.13671777955284903
E. coli Consensus,45,7,1700,-0.16492699140218617,-0.0652982716188438,-0.09962871978334237
E. coli Consensus,45,8,1700,-0.20145196341473232,-0.052276053200945714,-0.1491759102137866
E. coli Consensus,45,9,1700,-0.1720303615386479,-0.062442651513187904,-0.10958771002546
E. coli Consensus,45,10,1700,-0.16304034079944862,-0.08326839130814678,-0.07977194949130184
E. coli Consensus,45,11,1700,-0.18131375324624013,-0.06756133101993614,-0.113752422226304
E. coli Consensus,45,12,1700,-0.2082112553172844,-0.04925329537091791,-0.1589579599463665
E. coli Consensus,45,13,1700,-0.17301093410572657,-0.05904636646262306,-0.1139645676431035
E. coli Consensus,45,14,1700,-0.21679937238615601,-0.042732227033607365,-0.17406714535254864
E. coli Consensus,45,15,1700,-0.20723560240531066,-0.056442867317581316,-0.15079273508772933
E. coli Consensus,45,16,1700,-0.20968594391332973,-0.052410356545269744,-0.15727558736806
E. coli Consensus,45,17,1700,-0.21193559934570416,-0.046681130475643734,-0.16525446887006043
E. coli Consensus,45,18,1700,-0.15686822282444932,-0.05843692268646381,-0.09843130013798551
E. coli Consensus,45,19,1700,-0.17065212503643026,-0.06588326118038401,-0.10476886385604625
E. coli Consensus,45,20,1700,-0.21423640358798055,-0.040401741140405824,-0.17383466244757473
E. coli Consensus,45,21,1700,-0.20159095641350114,-0.03896531570814981,-0.16262564070535132
E. coli Consensus,45,22,1700,-0.16151805173164832,-0.06494833897736198,-0.09656971275428634
E. coli Consensus,45,23,1700,-0.2122315341270135,-0.046976103431393204,-0.16525543069562032
E. coli Consensus,45,24,1700,-0.17398087719826094,-0.06729970502690943,-0.10668117217135151
E. coli Consensus,45,25,1700,-0.1662992958860231,-0.056237874291033926,-0.11006142159498918
E. coli Consensus,45,26,1700,-0.16467291970800527,-0.06887911956673312,-0.09579380014127215
E. coli Consensus,45,27,1700,-0.21464765195912086,-0.04974463046862107,-0.1649030214904998
E. coli Consensus,45,28,1700,-0.2048947564225356,-0.04758657335482242,-0.1573081830677132
E. coli Consensus,45,29,1700,-0.162421064481336,-0.08968545549522455,-0.07273560898611145
E. coli Consensus,45,30,1700,-0.2192248331337576,-0.04898606866573506,-0.17023876446802255
E. coli Consensus,45,31,1700,-0.17520604360893752,-0.068349746752443,-0.10685629685649452
E. coli Consensus,45,32,1700,-0.1619014972912639,-0.055185294756327795,-0.1067162025349361
E. coli Consensus,45,33,1700,-0.1613313870001874,-0.08687814553975025,-0.07445324146043715
E. coli Consensus,45,34,1700,-0.16606493364064057,-0.05805746811993193,-0.10800746552070864
E. coli Consensus,45,35,1700,-0.17302149798410565,-0.06342514843912817,-0.10959634954497749
E. coli Consensus,45,36,1700,-0.17656515256915103,-0.06480361483444541,-0.11176153773470562
E. coli Consensus,45,37,1700,-0.17406298977102233,-0.07041163030877805,-0.10365135946224428
E. coli Consensus,45,38,1700,-0.2112953174676204,-0.0483056755333934,-0.162989641934227
E. coli Consensus,45,39,1700,-0.12171783788497899,-0.056079862716044176,-0.06563797516893481
E. coli Consensus,45,40,1700,-0.1750454729971971,-0.05990245248990053,-0.11514302050729658
E. coli Consensus,45,41,1700,-0.21033527340373592,-0.058427592437483085,-0.15190768096625284
E. coli Consensus,45,42,1700,-0.16012986737810805,-0.06491961142657666,-0.09521025595153139
E. coli Consensus,45,43,1700,-0.1739938519457337,-0.08890879439023545,-0.08508505755549824
E. coli Consensus,45,44,1700,-0.1369006542076133,-0.06892883709345275,-0.06797181711416055
E. coli Consensus,45,45,1700,-0.12845667826940255,-0.05108011571680077,-0.07737656255260178
E. coli Consensus,45,46,1700,-0.17091972639307523,-0.049488238143693665,-0.12143148824938158
E. coli Consensus,45,47,1700,-0.17553500956623425,-0.06105312566091619,-0.11448188390531805
E. coli Consensus,45,48,1700,-0.20836989645587078,-0.051647135027982245,-0.15672276142788855
