Metric,Spearman_rho,p_value,Pearson_r,Pearson_p_value,n_genes
consensus_slope,-0.2520660360002973,4.817829095708363e-10,-0.24490179102185208,1.3288709067105448e-9,597
global_mean_ln,-0.09473576046152966,0.02063831334726166,-0.09953339971700362,0.014978244179328226,597
Diff_Promoter,0.03657761958224357,0.35594255475549763,9.478006850201313e-4,0.9809227811147818,639
Mean_Str,-0.02729880273345665,0.49091850956906224,-0.026546074306861553,0.5029548334207832,639
LB_str,-0.01567263627978211,0.692526656571538,-0.024544914985307777,0.5356951141723145,639
M9_str,-0.011421421948570222,0.7732243078616206,-0.02191540835056778,0.5802844486558021,639
