assay,cutoff,gene_filter,fc_mode,dataset,group,m_pairs,frac_raw,frac_bonf
proteomics,rel20_abs0.1,high,unfiltered,Goelzer_2015,oriC,10,0,0
proteomics,rel20_abs0.1,high,unfiltered,Goelzer_2015,ter,10,0.4,0.1
proteomics,rel20_abs0.1,high,unfiltered,li_2014_all,oriC,3,0.6666666666666666,0.6666666666666666
proteomics,rel20_abs0.1,high,unfiltered,li_2014_all,ter,3,1,1
proteomics,rel20_abs0.1,high,unfiltered,peebo_2015,oriC,184,0.3967391304347826,0.06521739130434782
proteomics,rel20_abs0.1,high,unfiltered,peebo_2015,ter,184,0.7880434782608695,0.6195652173913043
proteomics,rel20_abs0.1,high,unfiltered,schmidt_2016,oriC,136,0.45588235294117646,0.125
proteomics,rel20_abs0.1,high,unfiltered,schmidt_2016,ter,136,0.45588235294117646,0.29411764705882354
proteomics,rel20_abs0.1,high,unfiltered,valgepea_2013_prot,oriC,6,0.5,0.5
proteomics,rel20_abs0.1,high,unfiltered,valgepea_2013_prot,ter,6,0.5,0.5
proteomics,rel20_abs0.1,high,unfiltered,zhu_B_subtilis,oriC,41,0.6829268292682927,0.4878048780487805
proteomics,rel20_abs0.1,high,unfiltered,zhu_B_subtilis,ter,41,0.7560975609756098,0.6585365853658537
proteomics,rel20_abs0.1,high,unfiltered,zhu_E_coli,oriC,46,0.6521739130434783,0.5
proteomics,rel20_abs0.1,high,unfiltered,zhu_E_coli,ter,46,0.717391304347826,0.5652173913043478
proteomics,rel20_abs0.1,high,unfiltered,zhu_V_natriegens,oriC,50,0.82,0.62
proteomics,rel20_abs0.1,high,unfiltered,zhu_V_natriegens,ter,50,0.62,0.18
