Metric,Spearman_rho,p_value,Pearson_r,Pearson_p_value,n_genes
consensus_slope,-0.1607351837254767,5.6422084134792214e-11,-0.16068991872485544,5.713315212745175e-11,1643
Mean_Str,0.06949810207875519,3.98854285647457e-4,0.06101847845548426,0.0018838901994991033,2592
M9_str,0.06495883051361513,9.360854532468032e-4,0.04753361036241567,0.01551124489275537,2592
LB_str,0.06325339417927764,0.0012729451235173374,0.059532782330708356,0.002428250045997148,2592
Diff_Promoter,0.007532070136109522,0.7015041063241814,3.627412133457023e-4,0.9852727968846211,2592
global_mean_ln,-8.472767579165749e-4,0.9726241051855039,-0.0031325909200223393,0.8990354439593031,1643
