Metric,Spearman_rho,p_value,Pearson_r,Pearson_p_value,n_genes
Diff_Promoter,-0.14405080213903743,0.4222806007515883,-0.19031883883972636,0.2887456806344942,33
consensus_slope,-0.1439590355198341,0.2845117022165668,-0.047295086936071665,0.7268228660396943,57
M9_str,0.14020387303921095,0.43644511395849983,0.07987542517406838,0.6585875514791208,33
global_mean_ln,0.1155042779362199,0.3911981307980121,0.1698579431801461,0.20652060508598374,57
Mean_Str,0.08790106951871658,0.625461676147799,0.019647316876841712,0.9135803275064867,33
LB_str,-0.018771554807099543,0.9174189971328506,-0.04944538117415601,0.7846556890455517,33
